REST_KEY,rest_label,Address,City,Zip,State,County,REST_HISP_CONS_MKT,REST_AFR_AMR_CONS_MKT,REST_ASIAN_CONS_MKT,latitude,longitude,REST_PLYPL_TYP,REST_DRV_THRU_TYP,REST_TYPE,coop_label,region_label,ethnic_label,owner_label,trad_label,subtype_label,incomeq_label,urban_label,social_label,lstage_label,ppop_09q_label,pgrowthq_label
36277,36277-WYOMING - CHICAGO AND GODFREY,1115 CHICAGO DR SW,WYOMING,49519,MI,KENT MI,54.15,10.39,0.79,42.935777,-85.694556,NONE,SIDE BY SIDE 2 BOOTH,FREESTANDING,GRAND RAPIDS MI,MICHIGAN,HCM,LICENSEE,Y,Traditional,NA,NA,NA,NA,NA,NA
36302,36302-GRANDVILLE - RIVERTOWN & IVANREST,2980 44TH STREET,GRANDVILLE,49418,MI,KENT MI,7.43,3.39,2.21,42.884165,-85.738159,NONE,SIDE BY SIDE 2 BOOTH,FREESTANDING,GRAND RAPIDS MI,MICHIGAN,GCM,LICENSEE,Y,Traditional,NA,NA,NA,NA,NA,NA
26114,26114-OSHTEMO TOWNSHIP,6820 W MAIN (M-43),KALAMAZOO,49009,MI,KALAMAZOO MI,3,5.42,2.45,42.296384,-85.683582,,2 BOOTH COD,FREESTANDING,GRAND RAPIDS MI,MICHIGAN,GCM,LICENSEE,Y,Traditional,1-Highest Income,4-Town and Rural,11 T1- Landed Gentry,01 Y1- Midlif Success,4-2ndLowest PPop_0_9,1-Highest Pgrowth
12839,12839-CALEDONIA,9383 CHERRY VALLEY,CALEDONIA,49316,MI,KENT MI,2.38,0.78,1.06,42.795304,-85.507634,NONE,FACE TO FACE TANDEM,FREESTANDING,GRAND RAPIDS MI,MICHIGAN,GCM,LICENSEE,Y,Traditional,2-2ndHighest Income,4-Town and Rural,12 T2- Country Cmfrt,02 Y2- Young Achievrs,1-Highest PPop_0_9,1-Highest Pgrowth
33312,33312-WYOMING - BYRON CENTER,5631 BYRON CENTER AVE,WYOMING,49418,MI,KENT MI,6.13,2.1,4.34,42.86165,-85.7238,NONE,SIDE BY SIDE 2 BOOTH,FREESTANDING,GRAND RAPIDS MI,MICHIGAN,GCM,LICENSEE,Y,Traditional,1-Highest Income,2-Suburban,05 S2- Affluentials,01 Y1- Midlif Success,1-Highest PPop_0_9,1-Highest Pgrowth
16729,16729-ALLENDALE,5371 LAKE MICHIGAN DR,ALLENDALE,49401,MI,OTTAWA MI,4.59,2.29,1.34,42.973099,-85.918471,NONE,2 BOOTH COD,FREESTANDING,GRAND RAPIDS MI,MICHIGAN,GCM,LICENSEE,Y,Traditional,2-2ndHighest Income,4-Town and Rural,12 T2- Country Cmfrt,01 Y1- Midlif Success,3-Mid PPop_0_9,1-Highest Pgrowth
16674,16674-WALKER & I-96,3030 WALKER AVE,WALKER,49504,MI,KENT MI,4.18,1.52,1.64,43.019455,-85.724802,,TANDEM,FREESTANDING,GRAND RAPIDS MI,MICHIGAN,GCM,LICENSEE,Y,Traditional,2-2ndHighest Income,4-Town and Rural,12 T2- Country Cmfrt,03 Y3- Strivng Singles,2-2ndHighest PPop_0_9,2-2ndHighest Pgrowth
5048,05048-KZOO-OSHTEMO,5296 S 9TH ST,KALAMAZOO,49009-9503,MI,KALAMAZOO MI,2.83,4.5,4.28,42.240999,-85.678238,NONE,SIDE BY SIDE 2 BOOTH,FREESTANDING,GRAND RAPIDS MI,MICHIGAN,GCM,MCOPCO,Y,Traditional,2-2ndHighest Income,4-Town and Rural,12 T2- Country Cmfrt,02 Y2- Young Achievrs,2-2ndHighest PPop_0_9,2-2ndHighest Pgrowth
16773,16773-THRNAPLE VILLAGE,402 ADA DR SE (SATELLITE),ADA,49301,MI,KENT MI,1.65,1.02,3.18,42.954684,-85.484517,NONE,NONE,STORE FRONT,GRAND RAPIDS MI,MICHIGAN,GCM,LICENSEE,N,Spod,1-Highest Income,4-Town and Rural,11 T1- Landed Gentry,04 F1- Accumultd Wealth,3-Mid PPop_0_9,2-2ndHighest Pgrowth
17469,17469-TRAVERSE CITY,2468 S AIRPORT RD W,TRAVERSE CITY,49684,MI,GRAND TRAVERSE MI,2.59,0.82,1.03,44.733958,-85.624558,NONE,2 BOOTH COD,FREESTANDING,GRAND RAPIDS MI,MICHIGAN,GCM,LICENSEE,Y,Traditional,5-Lowest Income,3-Second City,10 C3- MicroCty Blue,11 M4- Sustaing Seniors,5-Lowest PPop_0_9,2-2ndHighest Pgrowth
